설치장소명,설치장소상세,설치시군구명,서비스제공사명,와이파이SSID,WGS84위도,WGS84경도
시청광장,"시청입구광장, 시청앞광장, 음악분수대",성남시,성남시청,G_PublicWiFi@SeongNam,37.419695,127.127803
시흥동 주민센터,시흥동주민센터 민원실,성남시,성남시청,G_PublicWiFi@SeongNam,37.421978,127.107897
시흥동 주민자치센터,2층 헬스장 내 컴퓨터실 앞,성남시,성남시청,Public WiFi Free,37.422031,127.105745
신기교,신기교,성남시,성남시청,G_PublicWiFi@SeongNam,37.366277,127.109244
신기교,신기교 CCTV함체 근처,성남시,성남시청,Public WiFi Free,37.366231,127.108652
신기교(우안),분당구 정자동 100-3(신기교 우안 정자중학교 앞),성남시,성남시청,G_PublicWiFi@SeongNam,37.366108,127.10913
신일 어린이공원(어18),"야탑동 164, 신일 어린이공원(어18) (옥외1), CCTV:분당야탑:3-A-10",성남시,성남시청,Public WiFi Free,37.407277,127.144135
신촌동 주민센터,신촌동주민센터 민원실,성남시,성남시청,G_PublicWiFi@SeongNam,37.45465,127.104359
신해철 거리,신해철거리내,성남시,성남시청,G_PublicWiFi@SeongNam,37.365875,127.126727
신흥1동 2 경로당,"수정로170번길 19-9,신흥1동 2 경로당 (옥내1),거실 전화기 옆",성남시,성남시청,Public WiFi Free,37.441897,127.140346
신흥1동 3 경로당 (신흥카네이션),"수정남로 115-1,신흥1동 3 경로당 (신흥카네이션) (옥내1),안방 책상",성남시,성남시청,Public WiFi Free,37.44285,127.140279
신흥1동 4경로당 (상애),"탄리로 8번길 10-1,신흥1동 4경로당 (상애) (옥내1),거실tv아래",성남시,성남시청,Public WiFi Free,37.438804,127.141234
신흥1동 작은도서관,"1층 유아실, 2층 아동실",성남시,성남시청,Public WiFi Free,37.441665,127.137872
신흥1동 주민센터,신흥1동주민센터 민원실,성남시,성남시청,G_PublicWiFi@SeongNam,37.443043,127.141114
신흥1동복지회관,"지하1층 강당, 1층 로비, 2층 감사반, 3층(로비, 프로그램실)",성남시,성남시청,Public WiFi Free,37.440947,127.140246
신흥1동주민자치센터,신흥1동주민자치센터,성남시,성남시청,Public WiFi Free,37.443272,127.140795
신흥2동 물놀이장,신흥2동 물놀이장,성남시,성남시청,G_PublicWiFi@SeongNam,37.449547,127.145298
신흥2동 주민센터,신흥2동주민센터 민원실,성남시,성남시청,G_PublicWiFi@SeongNam,37.448673,127.145886
신흥3동 주민센터,신흥3동주민센터 민원실,성남시,성남시청,G_PublicWiFi@SeongNam,37.443481,127.148731
신흥3동 주민자치센터,3층 에어로빅실 앞 로비,성남시,성남시청,Public WiFi Free,37.443499,127.146642
신흥시장,"내부 마트 입구, 신흥신발가게",성남시,성남시청,Public WiFi Free,37.443907,127.14321
신흥역 종합시장거리,CCTV(중원은행2-A-30),성남시,성남시청,G_PublicWiFi@SeongNam,37.4426,127.149022
심곡동 탄천광장,심곡장 탄천광장 고가차도 밑,성남시,성남시청,G_PublicWiFi@SeongNam,37.439455,127.119934
중앙도서관,"2층(전자정보실, 로비, 문헌정보실)",성남시,성남시청,Public WiFi Free,37.404186,127.134864
"중앙도서관 b1층, 3층, 4층","B1_음수대 위 벽면, B1_카페애노쉬 옆 안내데스크 천정, 4F_열람실 안내판 위 천정, 3F_자판기 위 천정",성남시,성남시청,Public WiFi Free,37.403913,127.134824
중앙동 주민센터,중앙동 주민센터,성남시,성남시청,G_PublicWiFi@SeongNam,37.442854,127.156238
중앙동1구역,공원2,성남시,성남시청,G_PublicWiFi@SeongNam,37.430537,127.15277
"중앙동복지회관_b1층, 2층, 3층, 옥상","4F_옥상, 2F_사무실, 3F_누리터, 1F_할아버지방, B1_식당",성남시,성남시청,Public WiFi Free,37.441776,127.158008
중앙시장,중앙시장내,성남시,성남시청,G_PublicWiFi@SeongNam,37.441197,127.132573
중앙시장,"1층 133,145,163,182호 앞, 정문입구 앞, 2층 205,211,230,242,260호 앞, 3층 강당, 유아놀이방앞복도",성남시,성남시청,Public WiFi Free,37.441375,127.12984
중원구 보건소,"금상로 137,중원구 보건소(3층 보건행정과 사무실 복도 4층 건강증진과 사무실 복도) (옥내1), 2층 전산실",성남시,성남시청,Public WiFi Free,37.442135,127.17065
버스정류장 05-039,통계청.태평역,성남시,성남시청,G_PublicWiFi@SeongNam,37.41322,127.122251
버스정류장 05-040,한국전력,성남시,성남시청,G_PublicWiFi@SeongNam,37.41418,127.13059
버스정류장 05-041,중앙시장,성남시,성남시청,G_PublicWiFi@SeongNam,37.412,127.130278
버스정류장 05-042,중앙시장,성남시,성남시청,G_PublicWiFi@SeongNam,37.412005,127.128048
버스정류장 05-043,태평3동행정복지센터.태평초교,성남시,성남시청,G_PublicWiFi@SeongNam,37.409402,127.127342
버스정류장 05-046,중앙시장,성남시,성남시청,G_PublicWiFi@SeongNam,37.410793,127.137963
버스정류장 05-048,중앙시장.농협,성남시,성남시청,G_PublicWiFi@SeongNam,37.410948,127.135864
버스정류장 05-049,태평오거리,성남시,성남시청,G_PublicWiFi@SeongNam,37.409122,127.12346
버스정류장 05-050,태평오거리,성남시,성남시청,G_PublicWiFi@SeongNam,37.409555,127.123919
버스정류장 05-052,수성교.소방서,성남시,성남시청,G_PublicWiFi@SeongNam,37.415539,127.12085
버스정류장 05-053,중앙파출소,성남시,성남시청,G_PublicWiFi@SeongNam,37.40472,127.134429
버스정류장 05-057,태평2동행정복지센터,성남시,성남시청,G_PublicWiFi@SeongNam,37.411924,127.128339
버스정류장 05-058,태평2동행정복지센터,성남시,성남시청,G_PublicWiFi@SeongNam,37.411484,127.166827
버스정류장 05-059,MD아파트,성남시,성남시청,G_PublicWiFi@SeongNam,37.375162,127.143894
버스정류장 05-060,위례자연앤래미안e편한세상.위례힐스테이트,성남시,성남시청,G_PublicWiFi@SeongNam,37.463522,127.163299
버스정류장 05-061,성남시의료원.신흥1동행정복지센터,성남시,성남시청,G_PublicWiFi@SeongNam,37.460348,127.162696
버스정류장 05-062,성남시의료원.신흥1동행정복지센터,성남시,성남시청,G_PublicWiFi@SeongNam,37.454848,127.161024
버스정류장 05-063,성남시의료원정문,성남시,성남시청,G_PublicWiFi@SeongNam,37.454862,127.158794
버스정류장 05-064,태평4동행정복지센터.금빛초교,성남시,성남시청,G_PublicWiFi@SeongNam,37.462791,127.167574
버스정류장 05-065,꽃마을,성남시,성남시청,G_PublicWiFi@SeongNam,37.454923,127.161001
버스정류장 05-068,포레스티아서문,성남시,성남시청,G_PublicWiFi@SeongNam,37.45508,127.16092
버스정류장 05-069,위례동행정복지센터.위례보미리즌빌,성남시,성남시청,G_PublicWiFi@SeongNam,37.462317,127.163367
현대시장,제일로 근처,성남시,성남시청,G_PublicWiFi@SeongNam,37.44182,127.131268
현대시장,"의상실가게, 수입품가게, 전가게, 시장입구, 보물창고가게",성남시,성남시청,Public WiFi Free,37.441644,127.131807
현대프라자시장,"지하1층(휘트니스, 관리사무소 로비), 2층 로비, 3층 로비, 4층 로비, 5층 로비(2대)",성남시,성남시청,Public WiFi Free,37.369958,127.123671
화랑공원,"바닥분수, 야외공연장",성남시,성남시청,G_PublicWiFi@SeongNam,37.397384,127.105387
환상 어린이공원,환상 어린이공원,성남시,성남시청,G_PublicWiFi@SeongNam,37.401737,127.118244
황새울공원,황새울공원,성남시,성남시청,G_PublicWiFi@SeongNam,37.383973,127.118903
황송게이트볼장,"금광동 2471, 황송게이트볼장 (옥내1), 게이트장 사무실 내",성남시,성남시청,Public WiFi Free,37.447362,127.173212
황송공원 (체육시설),입구 게이트장부근,성남시,성남시청,G_PublicWiFi@SeongNam,37.444638,127.172968
황송공원 교통교육장,황송공원 교통교육장,성남시,성남시청,G_PublicWiFi@SeongNam,37.445514,127.176164
황송공원인조잔디구장,"금빛로2번길 35(금광동), 황송공원인조잔디구장 (옥외1), 관리사무소 앞",성남시,성남시청,Public WiFi Free,37.444906,127.172051
황송노인복지회관,"지하1층 식당, 1층 로비, 2층 로비, 3층 로비, 3층 강당",성남시,성남시청,Public WiFi Free,37.4418,127.169232
황송노인종합복지관,"황송노인종합복지관(경로식당 프로그램실 강당 도서실 체력단련실 로비 등) (옥내1), 1층 주관보호센터 사무실",성남시,성남시청,Public WiFi Free,37.441985,127.169194
황송테니스장,1층 사무실,성남시,성남시청,Public WiFi Free,37.444757,127.169862
효자 어린이공원(어33),"서현동 294, 효자 어린이공원(어33) (옥외1), 공원 내CCTV:분당서현2-A-14",성남시,성남시청,Public WiFi Free,37.376283,127.135026
희망대공원,"정상 팔각정, 농구장 등",성남시,성남시청,G_PublicWiFi@SeongNam,37.447827,127.150357
희망대공원 물놀이장-1,화장실 옆 전조등,성남시,성남시청,Public WiFi Free,37.4475,127.153597
희망대공원 물놀이장-2,돔 옆 전조등,성남시,성남시청,Public WiFi Free,37.447965,127.153454
희망대테니스장,"공원로370번길 26(신흥동), 희망대테니스장 (옥외1), 사무실 안 책상옆",성남시,성남시청,Public WiFi Free,37.447442,127.151612
모란5일장,중원구 성남동 4931(5일장 내 CCTV 폴대 4곳),성남시,성남시청,G_PublicWiFi@SeongNam,37.429097,127.127209
모란공원,가로등5번,성남시,성남시청,G_PublicWiFi@SeongNam,37.431088,127.12377
모란민속 5일장,모란민속 5일장,성남시,성남시청,G_PublicWiFi@SeongNam,37.429176,127.127404
모란생태공원,모란생태공원 조명등,성남시,성남시청,G_PublicWiFi@SeongNam,37.429319,127.125224
모란생태공원,"조명탐 상단, 전원 및 모뎀은 CCTV 함체",성남시,성남시청,Public WiFi Free,37.428264,127.125982
모란시장(기름시장),상인지회,성남시,성남시청,Public WiFi Free,37.430607,127.127544
목련 어린이공원(어17),"야탑동 167, 목련 어린이공원(어17) (옥외1), 공원 내CCTV:분당야탑:3-A-11",성남시,성남시청,Public WiFi Free,37.407986,127.139375
무잡모퉁이 어린이공원(어13),"야탑동 529, 무잡모퉁이 어린이공원(어13) (옥외1), CCTV관리번호:분당야탑2-A-3",성남시,성남시청,Public WiFi Free,37.407406,127.126969
무장들 어린이공원(어15),"야탑동 524, 무장뜰 어린이공원(어15) (옥외1), 공원 내CCTV:분당야탑2-A-4",성남시,성남시청,Public WiFi Free,37.407875,127.13101
무지개 어린이공원,무지개 어린이공원,성남시,성남시청,G_PublicWiFi@SeongNam,37.339744,127.12272
무지개도서관,"무지개도서관 1층, 2층",성남시,성남시청,G_PublicWiFi@SeongNam,37.339604,127.120828
